,AC,DC
2020,231612.35180486273,8600.01116134014
2021,231813.14298856113,8600.01116134014
2022,232509.25821728905,8600.01116134014
2023,233686.47250971274,8600.01383240778
2024,234598.09629635423,8600.01383240778
2025,235672.26652914518,8600.014195277194
2026,237247.84067670238,8600.014458968662
2027,239950.06169152164,8600.017739019584
2028,241509.43058874115,8600.017739019584
2029,241746.7153733472,8600.017739019584
2030,242365.83541723332,8600.017739019584
2031,243626.55571837455,8600.017739019584
2032,245261.2251682267,8600.017739019584
2033,246920.83707725158,8600.017739019584
2034,249158.7123250094,8600.017739019584
2035,251150.79812526127,8600.018016040336
2036,253961.88363482506,8600.022672778055
2037,255116.32973570126,8600.022672778055
2038,255595.93211870175,8600.022672778055
2039,256351.24001126742,8600.022672778055
2040,256548.91903922695,8600.022672778055
2041,257077.2472570119,8600.022672778055
2042,257584.0590816761,8600.022672778055
2043,257756.881460535,8600.024506238835
2044,259655.39449913747,8600.024506238835
2045,274690.5748727827,8604.741478872258
2046,274690.5748727827,8604.741478872258
2047,274690.5748727827,8604.741478872258
2048,274690.5748727827,8604.741478872258
2049,274690.5748727827,8604.741478872258
2050,274690.5748727827,8604.741478872258
