,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 4 solar,solar,331.460558,DE0 4,,,2043.0
DE0 5 onwind,onwind,6.0,DE0 5,,,2043.0
DE0 5 solar,solar,78.809839,DE0 5,,,2043.0
DE0 6 onwind,onwind,139.75048,DE0 6,,,2043.0
DE0 6 solar,solar,118.077297,DE0 6,,,2043.0
DE0 7 onwind,onwind,100.201,DE0 7,,,2043.0
DE0 7 solar,solar,205.473386,DE0 7,,,2043.0
DE0 8 onwind,onwind,30.79,DE0 8,,,2043.0
DE0 8 solar,solar,219.318517,DE0 8,,,2043.0
DE0 9 onwind,onwind,48.05,DE0 9,,,2043.0
DE0 9 solar,solar,193.718264,DE0 9,,,2043.0
DE0 0 onwind,onwind,230.608,DE0 0,,,2042.0
DE0 0 solar,solar,75.173511,DE0 0,,,2042.0
DE0 1 onwind,onwind,522.4055,DE0 1,,,2042.0
DE0 1 solar,solar,95.75585,DE0 1,,,2042.0
DE0 10 onwind,onwind,278.831,DE0 10,,,2042.0
DE0 10 solar,solar,53.22251,DE0 10,,,2042.0
DE0 11 offwind-ac,offwind-ac,192.85,DE0 11,,,2042.0
DE0 11 offwind-dc,offwind-dc,166.65,DE0 11,,,2042.0
DE0 11 onwind,onwind,531.392,DE0 11,,,2042.0
DE0 11 solar,solar,178.380757,DE0 11,,,2042.0
DE0 12 offwind-ac,offwind-ac,297.6,DE0 12,,,2042.0
DE0 12 offwind-dc,offwind-dc,306.3,DE0 12,,,2042.0
